,birthplace,date_of_birth,race_ethnicity,religion,sexual_orientation,year_of_award,award,biourl,movie,person,bioLink,movie_IMDB_Link,rating_bin,runtime_bin
223,"Longview, Tx",15-Jul-61,Black,Unknown,Straight,2007,Best Actor,http://www.nndb.com/people/833/000025758/,The Last King of Scotland,Forest Whitaker,https://www.imdb.com/name/nm0001845/awards,https://www.imdb.com/title/tt0455590/,8.0,2.0
224,"London, England",29-Apr-57,White,Unknown,Straight,2008,Best Actor,http://www.nndb.com/people/788/000022722/,There Will Be Blood,Daniel Day-Lewis,https://www.imdb.com/name/nm0000358/awards,https://www.imdb.com/title/tt0469494/,8.0,2.5
225,"Burbank, Ca",17-Aug-60,White,Christian,Straight,2009,Best Actor,http://www.nndb.com/people/331/000025256/,Milk,Sean Penn,https://www.imdb.com/name/nm0000576/awards,https://www.imdb.com/title/tt1013753/,8.0,2.0
226,"Los Angeles, Ca",4-Dec-49,White,Christian,Straight,2010,Best Actor,http://www.nndb.com/people/779/000022713/,Crazy Heart,Jeff Bridges,https://www.imdb.com/name/nm0000313/awards,https://www.imdb.com/title/tt1263670/,7.0,2.0
227,"London, England",29-Apr-57,White,Unknown,Straight,2013,Best Actor,http://www.nndb.com/people/788/000022722/,Lincoln,Daniel Day-Lewis,https://www.imdb.com/name/nm0000358/awards,https://www.imdb.com/title/tt0443272/,7.0,2.5
228,"Uvalde, Tx",4-Nov-69,White,Unknown,Straight,2014,Best Actor,http://www.nndb.com/people/583/000023514/,Dallas Buyers Club,Matthew McConaughey,https://www.imdb.com/name/nm0000190/awards,https://www.imdb.com/title/tt0790636/,8.0,2.0
229,"Bossier City, La",26-Dec-71,White,Unknown,Straight,2014,Best Supporting Actor,http://www.nndb.com/people/438/000026360/,Dallas Buyers Club,Jared Leto,https://www.imdb.com/name/nm0001467/awards,https://www.imdb.com/title/tt0790636/,8.0,2.0
230,"Swampscott, Ma",25-Jul-1894,White,Unknown,Straight,1938,Best Supporting Actor,http://www.nndb.com/people/347/000032251/,Come and Get It,Walter Brennan,https://www.imdb.com/name/nm0000974/awards,https://www.imdb.com/title/tt0027459/,7.0,1.5
231,"Vienna, Austria",22-Mar-1896,White,Unknown,Straight,1938,Best Supporting Actor,http://www.nndb.com/people/115/000063923/,The Life of Emile Zola,Joseph Schildkraut,https://www.imdb.com/name/nm0771584/,https://www.imdb.com/title/tt0029146/,7.0,2.0
232,"Swampscott, Ma",25-Jul-1894,White,Unknown,Straight,1939,Best Supporting Actor,http://www.nndb.com/people/347/000032251/,Kentucky,Walter Brennan,https://www.imdb.com/name/nm0000974/awards,https://www.imdb.com/title/tt0030317/,6.0,1.5
233,"Elizabeth, Nj",11-Jul-1892,White,Unknown,Straight,1940,Best Supporting Actor,http://www.nndb.com/people/116/000063924/,Stagecoach,Thomas Mitchell,https://www.imdb.com/name/nm0593775/awards,https://www.imdb.com/title/tt0031971/,8.0,1.5
234,"Swampscott, Ma",25-Jul-1894,White,Unknown,Straight,1941,Best Supporting Actor,http://www.nndb.com/people/347/000032251/,The Westerner,Walter Brennan,https://www.imdb.com/name/nm0000974/awards,https://www.imdb.com/title/tt0033253/,7.0,1.5
235,"Walters, Ok",13-Dec-10,White,Unknown,Straight,1943,Best Supporting Actor,http://www.nndb.com/people/680/000042554/,Johnny Eager,Van Heflin,https://www.imdb.com/name/nm0001336/awards,https://www.imdb.com/title/tt0033774/,7.0,2.0
236,"Walters, Ok",13-Dec-10,White,Unknown,Straight,1943,Best Supporting Actor,http://www.nndb.com/people/680/000042554/,Johnny Eager,Van Heflin,https://www.imdb.com/name/nm0001336/awards,https://www.imdb.com/title/tt0033774/,7.0,2.0
237,"Savannah, Ga",17-Jun-1877,White,Unknown,Straight,1944,Best Supporting Actor,http://www.nndb.com/people/127/000063935/,The More the Merrier,Charles Coburn,https://www.imdb.com/name/nm0002013/,https://www.imdb.com/title/tt0036172/,8.0,1.5
238,New York City,2-Nov-1901,White,Unknown,Straight,1946,Best Supporting Actor,http://www.nndb.com/people/125/000063933/,A Tree Grows in Brooklyn,James Dunn,https://www.imdb.com/name/nm0007223/,https://www.imdb.com/title/tt0038190/,8.0,2.0
239,"Vale of Glamorgan, Wales",26-Sep-1875,White,Unknown,Unknown,1948,Best Supporting Actor,http://www.nndb.com/people/123/000063931/,Miracle on 34th Street,Edmund Gwenn,https://www.imdb.com/name/nm0350324/,https://www.imdb.com/title/tt0039628/,8.0,1.5
240,"Lima, Oh",7-Nov-1903,White,Unknown,Straight,1950,Best Supporting Actor,http://www.nndb.com/people/121/000063929/,Twelve O'Clock High,Dean Jagger,https://www.imdb.com/name/nm0415591/awards,https://www.imdb.com/title/tt0041996/,8.0,2.0
241,"Chicago, Il",22-Mar-12,White,Unknown,Straight,1952,Best Supporting Actor,http://www.nndb.com/people/553/000022487/,A Streetcar Named Desire,Karl Malden,https://www.imdb.com/name/nm0001500/awards,https://www.imdb.com/title/tt0044081/,8.0,2.0
242,"Darjeeling, India",5-Nov-13,White,Christian,Straight,1952,Best Actress,http://www.nndb.com/people/470/000022404/,A Streetcar Named Desire,Vivien Leigh,https://www.imdb.com/name/nm0000046/awards,https://www.imdb.com/title/tt0044081/,8.0,2.0
243,"Detroit, Mi",12-Nov-22,White,Unknown,Straight,1952,Best Supporting Actress,http://www.nndb.com/people/501/000051348/,A Streetcar Named Desire,Kim Hunter,https://www.imdb.com/name/nm0001375/,https://www.imdb.com/title/tt0044081/,8.0,2.0
244,"Chihuahua, Mexico",21-Apr-15,Hispanic,Unknown,Straight,1953,Best Supporting Actor,http://www.nndb.com/people/228/000032132/,Viva Zapata!,Anthony Quinn,https://www.imdb.com/name/nm0000063/awards,https://www.imdb.com/title/tt0045296/,7.0,2.0
245,New York City,10-Sep-15,White,Christian,Straight,1955,Best Supporting Actor,http://www.nndb.com/people/620/000042494/,The Barefoot Contessa,Edmond O'Brien,https://www.imdb.com/name/nm0639529/,https://www.imdb.com/title/tt0046754/,7.0,2.0
246,"Newton, Ma",8-Feb-25,White,Christian,Straight,1956,Best Supporting Actor,http://www.nndb.com/people/714/000026636/,Mister Roberts,Jack Lemmon,https://www.imdb.com/name/nm0000493/awards,https://www.imdb.com/title/tt0048380/,8.0,2.0
247,"Chihuahua, Mexico",21-Apr-15,Hispanic,Unknown,Straight,1957,Best Supporting Actor,http://www.nndb.com/people/228/000032132/,Lust for Life,Anthony Quinn,https://www.imdb.com/name/nm0000063/awards,https://www.imdb.com/title/tt0049456/,7.0,2.0
248,New York City,5-Feb-19,White,Jewish,Straight,1958,Best Supporting Actor,http://www.nndb.com/people/820/000022754/,Sayonara,Red Buttons,https://www.imdb.com/name/nm0000999/awards,https://www.imdb.com/title/tt0050933/,7.0,2.5
249,"Otaro, Hokkaido, Japan",3-Apr-29,Asian,Unknown,Straight,1958,Best Supporting Actress,http://www.nndb.com/people/091/000063899/,Sayonara,Miyoshi Umeki,https://www.imdb.com/name/nm0880855/,https://www.imdb.com/title/tt0050933/,7.0,2.5
250,"Hunt City, Il",14-Jun-09,White,Unknown,Straight,1959,Best Supporting Actor,http://www.nndb.com/people/679/000042553/,The Big Country,Burl Ives,https://www.imdb.com/name/nm0412322/awards,https://www.imdb.com/title/tt0051411/,8.0,3.0
251,"London, England",16-Apr-21,White,Unknown,Straight,1961,Best Supporting Actor,http://www.nndb.com/people/810/000022744/,Spartacus,Peter Ustinov,https://www.imdb.com/name/nm0001811/awards,https://www.imdb.com/title/tt0054331/,8.0,3.5
252,"Hartford, Ct",25-Mar-1901,White,Unknown,Straight,1963,Best Supporting Actor,http://www.nndb.com/people/915/000043786/,Sweet Bird of Youth,"Ed Begley, Sr.",https://www.imdb.com/name/nm0003225/,https://www.imdb.com/title/tt0056541/,7.0,2.0
253,"Macon, Ga",5-Apr-1901,White,Jewish,Straight,1964,Best Supporting Actor,http://www.nndb.com/people/100/000063908/,Hud,Melvyn Douglas,https://www.imdb.com/name/nm0002048/,https://www.imdb.com/title/tt0057163/,8.0,2.0
254,"Packard, Ky",20-Jan-26,White,Christian,Straight,1964,Best Actress,http://www.nndb.com/people/226/000042100/,Hud,Patricia Neal,https://www.imdb.com/name/nm0623658/,https://www.imdb.com/title/tt0057163/,8.0,2.0
255,"London, England",16-Apr-21,White,Unknown,Straight,1965,Best Supporting Actor,http://www.nndb.com/people/810/000022744/,Topkapi,Peter Ustinov,https://www.imdb.com/name/nm0001811/awards,https://www.imdb.com/title/tt0058672/,7.0,2.0
256,"Bronx, Ny",4-Nov-19,White,Unknown,Straight,1966,Best Supporting Actor,http://www.nndb.com/people/111/000063919/,A Thousand Clowns,Martin Balsam,https://www.imdb.com/name/nm0000842/awards,https://www.imdb.com/title/tt0059798/,7.0,2.0
257,New York City,1-Oct-20,White,Jewish,Straight,1967,Best Supporting Actor,http://www.nndb.com/people/768/000023699/,The Fortune Cookie,Walter Matthau,https://www.imdb.com/name/nm0000527/awards,https://www.imdb.com/title/tt0060424/,7.0,2.0
258,New York City,18-Feb-25,White,Unknown,Straight,1968,Best Supporting Actor,http://www.nndb.com/people/001/000022932/,Cool Hand Luke,George Kennedy,https://www.imdb.com/name/nm0001421/awards,https://www.imdb.com/title/tt0061512/,8.0,2.0
259,"Malden, Ma",16-Jun-07,White,Unknown,Unknown,1969,Best Supporting Actor,http://www.nndb.com/people/559/000049412/,The Subject Was Roses,Jack Albertson,https://www.imdb.com/name/nm0016776/,https://www.imdb.com/title/tt0063654/,7.0,2.0
260,"Malden, Ma",16-Jun-07,White,Unknown,Unknown,1969,Best Supporting Actor,http://www.nndb.com/people/559/000049412/,The Subject Was Roses,Jack Albertson,https://www.imdb.com/name/nm0016776/,https://www.imdb.com/title/tt0063654/,7.0,2.0
261,"St. Cloud, Mn",4-Nov-13,White,Unknown,Straight,1970,Best Supporting Actor,http://www.nndb.com/people/110/000063918/,"They Shoot Horses, Don't They?",Gig Young,https://www.imdb.com/name/nm0949574/,https://www.imdb.com/title/tt0065088/,8.0,2.0
262,"Felixstowe, Suffolk, England",22-Feb-08,White,Unknown,Straight,1971,Best Supporting Actor,http://www.nndb.com/people/701/000030611/,Ryan's Daughter,John Mills,https://www.imdb.com/name/nm0590055/awards,https://www.imdb.com/title/tt0066319/,7.0,3.5
263,"Shidler, Ok",13-Jun-18,White,Unknown,Straight,1972,Best Supporting Actor,http://www.nndb.com/people/425/000064233/,The Last Picture Show,Ben Johnson,https://www.imdb.com/name/nm0424565/awards,https://www.imdb.com/title/tt0067328/,8.0,2.0
264,"Des Moines, Ia",30-Apr-26,White,Unknown,Straight,1972,Best Supporting Actress,http://www.nndb.com/people/177/000023108/,The Last Picture Show,Cloris Leachman,https://www.imdb.com/name/nm0001458/awards,https://www.imdb.com/title/tt0067328/,8.0,2.0
265,"Bucharest, Romania",22-Sep-1902,White,Unknown,Straight,1974,Best Supporting Actor,http://www.nndb.com/people/686/000042560/,The Paper Chase,John Houseman,https://www.imdb.com/name/nm0002144/,https://www.imdb.com/title/tt0070509/,7.0,2.0
266,New York City,20-Jan-1896,White,Jewish,Straight,1976,Best Supporting Actor,http://www.nndb.com/people/895/000022829/,The Sunshine Boys,George Burns,https://www.imdb.com/name/nm0122675/awards,https://www.imdb.com/title/tt0073766/,7.0,2.0
267,"Chicago, Il",26-Jul-22,White,Unknown,Straight,1977,Best Supporting Actor,http://www.nndb.com/people/224/000032128/,All the President's Men,Jason Robards,https://www.imdb.com/name/nm0001673/awards,https://www.imdb.com/title/tt0074119/,8.0,2.5
268,"Chicago, Il",26-Jul-22,White,Unknown,Straight,1977,Best Supporting Actor,http://www.nndb.com/people/224/000032128/,All the President's Men,Jason Robards,https://www.imdb.com/name/nm0001673/awards,https://www.imdb.com/title/tt0074119/,8.0,2.5
269,"Chicago, Il",26-Jul-22,White,Unknown,Straight,1978,Best Supporting Actor,http://www.nndb.com/people/224/000032128/,Julia,Jason Robards,https://www.imdb.com/name/nm0001673/awards,https://www.imdb.com/title/tt0076245/,7.0,2.0
270,"London, England",30-Jan-37,White,Unknown,Straight,1978,Best Supporting Actress,http://www.nndb.com/people/590/000023521/,Julia,Vanessa Redgrave,https://www.imdb.com/name/nm0000603/awards,https://www.imdb.com/title/tt0076245/,7.0,2.0
271,"Macon, Ga",5-Apr-1901,White,Jewish,Straight,1980,Best Supporting Actor,http://www.nndb.com/people/100/000063908/,Being There,Melvyn Douglas,https://www.imdb.com/name/nm0002048/,https://www.imdb.com/title/tt0078841/,8.0,2.0
272,"London, England",14-Apr-04,White,Unknown,Gay,1982,Best Supporting Actor,http://www.nndb.com/people/589/000033490/,Arthur,John Gielgud,https://www.imdb.com/name/nm0000024/awards,https://www.imdb.com/title/tt0082031/,7.0,1.5
273,"Brooklyn, Ny",27-May-36,Black,Unknown,Straight,1983,Best Supporting Actor,http://www.nndb.com/people/906/000023837/,An Officer and a Gentleman,"Lou Gossett, Jr.",https://www.imdb.com/name/nm0001283/,https://www.imdb.com/title/tt0084434/,7.0,2.0
274,"Samrong Young, Cambodia",22-Mar-40,Asian,Buddhist,Straight,1985,Best Supporting Actor,http://www.nndb.com/people/093/000063901/,The Killing Fields,Haing S. Ngor,https://www.imdb.com/name/nm0628955/,https://www.imdb.com/title/tt0087553/,8.0,2.5
275,"Kenosha, Wi",31-May-04,White,Christian,Straight,1986,Best Supporting Actor,http://www.nndb.com/people/736/000024664/,Cocoon,Don Ameche,https://www.imdb.com/name/nm0000747/awards,https://www.imdb.com/title/tt0088933/,7.0,2.0
276,"Bermondsey, England",14-Mar-33,White,Unknown,Straight,1987,Best Supporting Actor,http://www.nndb.com/people/754/000022688/,Hannah and Her Sisters,Michael Caine,https://www.imdb.com/name/nm0000323/awards,https://www.imdb.com/title/tt0091167/,8.0,2.0
277,"Kansas City, Mo",28-Mar-48,White,Unknown,Straight,1987,Best Supporting Actress,http://www.nndb.com/people/894/000024822/,Hannah and Her Sisters,Dianne Wiest,https://www.imdb.com/name/nm0001848/awards,https://www.imdb.com/title/tt0091167/,8.0,2.0
278,"Edinburgh, Scotland",25-Aug-30,White,Christian,Straight,1988,Best Supporting Actor,http://www.nndb.com/people/881/000022815/,The Untouchables,Sean Connery,https://www.imdb.com/name/nm0000125/awards,https://www.imdb.com/title/tt0094226/,8.0,2.0
279,"St. Louis, Mo",24-Oct-47,White,Christian,Straight,1989,Best Supporting Actor,http://www.nndb.com/people/819/000024747/,A Fish Called Wanda,Kevin Kline,https://www.imdb.com/name/nm0000177/awards,https://www.imdb.com/title/tt0095159/,8.0,2.0
280,"Mount Vernon, Ny",28-Dec-54,Black,Christian,Straight,1990,Best Supporting Actor,http://www.nndb.com/people/665/000023596/,Glory,Denzel Washington,https://www.imdb.com/name/nm0000243/awards,https://www.imdb.com/title/tt0097441/,8.0,2.0
281,"Newark, Nj",9-Feb-43,White,Unknown,Straight,1991,Best Supporting Actor,http://www.nndb.com/people/582/000022516/,Good Fellas,Joe Pesci,https://www.imdb.com/name/nm0000582/awards,https://www.imdb.com/title/tt0099685/,9.0,2.5
282,"Lattimer Mines, Pa",18-Feb-19,White,Unknown,Straight,1992,Best Supporting Actor,http://www.nndb.com/people/579/000022513/,City Slickers,Jack Palance,https://www.imdb.com/name/nm0001588/awards,https://www.imdb.com/title/tt0101587/,7.0,2.0
283,"San Saba, Tx",15-Sep-46,White,Unknown,Straight,1994,Best Supporting Actor,http://www.nndb.com/people/530/000022464/,The Fugitive,Tommy Lee Jones,https://www.imdb.com/name/nm0000169/awards,https://www.imdb.com/title/tt0106977/,8.0,2.0
284,"Brooklyn, Ny",20-Jun-31,White,Jewish,Straight,1995,Best Supporting Actor,http://www.nndb.com/people/431/000023362/,Ed Wood,Martin Landau,https://www.imdb.com/name/nm0001445/awards,https://www.imdb.com/title/tt0109707/,8.0,2.0
285,"South Orange, Nj",26-Jul-59,White,Unknown,Matter of Dispute,1996,Best Supporting Actor,http://www.nndb.com/people/591/000023522/,The Usual Suspects,Kevin Spacey,https://www.imdb.com/name/nm0000228/awards,https://www.imdb.com/title/tt0114814/,8.0,2.0
286,"Bronx, Ny",2-Jan-68,Black,Unknown,Straight,1997,Best Supporting Actor,http://www.nndb.com/people/587/000023518/,Jerry Maguire,"Cuba Gooding, Jr.",https://www.imdb.com/name/nm0000421/awards,https://www.imdb.com/title/tt0116695/,7.0,2.5
287,"Chicago, Il",21-Jul-51,White,Christian,Straight,1998,Best Supporting Actor,http://www.nndb.com/people/606/000022540/,Good Will Hunting,Robin Williams,https://www.imdb.com/name/nm0000245/awards,https://www.imdb.com/title/tt0119217/,8.0,2.0
288,"Laurel, Ne",31-Aug-28,White,Unknown,Straight,1999,Best Supporting Actor,http://www.nndb.com/people/764/000022698/,Affliction,James Coburn,https://www.imdb.com/name/nm0000336/awards,https://www.imdb.com/title/tt0118564/,7.0,2.0
289,"Laurel, Ne",31-Aug-28,White,Unknown,Straight,1999,Best Supporting Actor,http://www.nndb.com/people/764/000022698/,Affliction,James Coburn,https://www.imdb.com/name/nm0000336/awards,https://www.imdb.com/title/tt0118564/,7.0,2.0
290,"Bermondsey, England",14-Mar-33,White,Unknown,Straight,2000,Best Supporting Actor,http://www.nndb.com/people/754/000022688/,The Cider House Rules,Michael Caine,https://www.imdb.com/name/nm0000323/awards,https://www.imdb.com/title/tt0124315/,7.0,2.0
291,"Lincoln, Lincolnshire, England",24-May-49,White,Unknown,Straight,2002,Best Supporting Actor,http://www.nndb.com/people/092/000063900/,Iris,Jim Broadbent,https://www.imdb.com/name/nm0000980/awards,https://www.imdb.com/title/tt0280778/,7.0,1.5
292,"Kansas City, Mo",9-Jul-51,White,Unknown,Straight,2003,Best Supporting Actor,http://www.nndb.com/people/130/000025055/,Adaptation,Chris Cooper,https://www.imdb.com/name/nm0177933/awards,https://www.imdb.com/title/tt0268126/,8.0,2.0
293,"Lexington, Ky",6-May-61,White,Unknown,Straight,2006,Best Supporting Actor,http://www.nndb.com/people/763/000022697/,Syriana,George Clooney,https://www.imdb.com/name/nm0000123/awards,https://www.imdb.com/title/tt0365737/,7.0,2.0
294,"Brooklyn, Ny",26-Mar-34,White,Jewish,Straight,2007,Best Supporting Actor,http://www.nndb.com/people/777/000022711/,Little Miss Sunshine,Alan Arkin,https://www.imdb.com/name/nm0000273/awards,https://www.imdb.com/title/tt0449059/,8.0,1.5
295,"Perth, Australia",4-Apr-79,White,Unknown,Straight,2009,Best Supporting Actor,http://www.nndb.com/people/204/000029117/,The Dark Knight,Heath Ledger,https://www.imdb.com/name/nm0005132/awards,https://www.imdb.com/title/tt0468569/,9.0,2.5
296,Unknown,4-Oct-56,White,Unknown,Straight,2010,Best Supporting Actor,http://www.nndb.com/people/455/000213813/,Inglourious Basterds,Christoph Waltz,https://www.imdb.com/name/nm0910607/awards,https://www.imdb.com/title/tt0361748/,8.0,2.5
297,"Haverfordwest, Pembrokeshire, Wales",30-Jan-74,White,Unknown,Straight,2011,Best Supporting Actor,http://www.nndb.com/people/877/000031784/,The Fighter,Christian Bale,https://www.imdb.com/name/nm0000288/awards,https://www.imdb.com/title/tt0964517/,8.0,2.0
298,New York City,14-Sep-60,White,Unknown,Straight,2011,Best Supporting Actress,http://www.nndb.com/people/327/000042201/,The Fighter,Melissa Leo,https://www.imdb.com/name/nm0502425/,https://www.imdb.com/title/tt0964517/,8.0,2.0
299,Unknown,4-Oct-56,White,Unknown,Straight,2013,Best Supporting Actor,http://www.nndb.com/people/455/000213813/,Django Unchained,Christoph Waltz,https://www.imdb.com/name/nm0910607/awards,https://www.imdb.com/title/tt1853728/,8.0,3.0
300,"Philadelphia, Pa",6-Oct-06,White,Unknown,Straight,1929,Best Actress,http://www.nndb.com/people/129/000043000/,7th Heaven,Janet Gaynor,https://www.imdb.com/name/nm0310980/,https://www.imdb.com/title/tt0018379/,8.0,0.0
301,"Toronto, Ontario, Canada",8-Apr-1892,White,Unknown,Straight,1930,Best Actress,http://www.nndb.com/people/683/000042557/,Coquette,Mary Pickford,https://www.imdb.com/name/nm0681933/awards,https://www.imdb.com/title/tt0019788/,6.0,1.5
302,"Montreal, Quebec, Canada",10-Aug-1902,White,Unknown,Straight,1930,Best Actress,http://www.nndb.com/people/813/000063624/,The Divorcee,Norma Shearer,https://www.imdb.com/name/nm0790454/awards,https://www.imdb.com/title/tt0020827/,7.0,1.5
303,"Cobourg, Ontario, Canada",2-Nov-1868,White,Unknown,Straight,1931,Best Actress,http://www.nndb.com/people/814/000063625/,Min and Bill,Marie Dressler,https://www.imdb.com/name/nm0237597/,https://www.imdb.com/title/tt0021148/,7.0,1.0
304,"Washington, Dc",10-Oct-1900,White,Unknown,Straight,1932,Best Actress,http://www.nndb.com/people/908/000031815/,The Sin of Madelon Claudet,Helen Hayes,https://www.imdb.com/name/nm0371040/awards,https://www.imdb.com/title/tt0022386/,7.0,1.0
305,"Hartford, Ct",12-May-07,White,Atheist,Bisexual,1934,Best Actress,http://www.nndb.com/people/775/000023706/,Morning Glory,Katharine Hepburn,https://www.imdb.com/name/nm0000031/awards,https://www.imdb.com/title/tt0024353/,6.0,1.0
306,"Lowell, Ma",5-Apr-08,White,Unknown,Straight,1936,Best Actress,http://www.nndb.com/people/457/000026379/,Dangerous,Bette Davis,https://www.imdb.com/name/nm0000012/awards,https://www.imdb.com/title/tt0026261/,7.0,1.5
307,"Dusseldorf, Germany",12-Jan-10,White,Jewish,Straight,1937,Best Actress,http://www.nndb.com/people/796/000030706/,The Great Ziegfeld,Luise Rainer,https://www.imdb.com/name/nm0707023/,https://www.imdb.com/title/tt0027698/,7.0,3.0
308,"Dusseldorf, Germany",12-Jan-10,White,Jewish,Straight,1938,Best Actress,http://www.nndb.com/people/796/000030706/,The Good Earth,Luise Rainer,https://www.imdb.com/name/nm0707023/,https://www.imdb.com/title/tt0028944/,8.0,2.5
309,"Lowell, Ma",5-Apr-08,White,Unknown,Straight,1939,Best Actress,http://www.nndb.com/people/457/000026379/,Jezebel,Bette Davis,https://www.imdb.com/name/nm0000012/awards,https://www.imdb.com/title/tt0030287/,8.0,1.5
310,"Los Angeles, Ca",7-Dec-1891,White,Unknown,Straight,1939,Best Supporting Actress,http://www.nndb.com/people/074/000063882/,Jezebel,Fay Bainter,https://www.imdb.com/name/nm0047810/,https://www.imdb.com/title/tt0030287/,8.0,1.5
311,"Independence, Mo",16-Jul-11,White,Christian,Straight,1941,Best Actress,http://www.nndb.com/people/635/000043506/,Kitty Foyle,Ginger Rogers,https://www.imdb.com/name/nm0001677/awards,https://www.imdb.com/title/tt0032671/,7.0,2.0
312,"Independence, Mo",16-Jul-11,White,Christian,Straight,1941,Best Actress,http://www.nndb.com/people/635/000043506/,Kitty Foyle,Ginger Rogers,https://www.imdb.com/name/nm0001677/awards,https://www.imdb.com/title/tt0032671/,7.0,2.0
313,"Tokyo, Japan",22-Oct-17,White,Unknown,Straight,1940,Best Actress,http://www.nndb.com/people/487/000026409/,Suspicion,Joan Fontaine,https://www.imdb.com/name/nm0000021/awards,https://www.imdb.com/title/tt0035605/,6.0,1.5
314,"Tulsa, Ok",2-Mar-19,White,Christian,Straight,1944,Best Actress,http://www.nndb.com/people/809/000063620/,The Song of Bernadette,Jennifer Jones,https://www.imdb.com/name/nm0428354/,https://www.imdb.com/title/tt0036377/,8.0,2.5
315,"Stockholm, Sweden",29-Aug-15,White,Unknown,Straight,1945,Best Actress,http://www.nndb.com/people/836/000024764/,Gaslight,Ingrid Bergman,https://www.imdb.com/name/nm0000006/awards,https://www.imdb.com/title/tt0036855/,8.0,2.0
316,"San Antonio, Tx",23-Mar-05,White,Christian,Bisexual,1946,Best Actress,http://www.nndb.com/people/837/000031744/,Mildred Pierce,Joan Crawford,https://www.imdb.com/name/nm0001076/awards,https://www.imdb.com/title/tt0037913/,8.0,2.0
317,"Tokyo, Japan",1-Jul-16,White,Unknown,Straight,1947,Best Actress,http://www.nndb.com/people/741/000022675/,To Each His Own,Olivia de Havilland,https://www.imdb.com/name/nm0000014/awards,https://www.imdb.com/title/tt0039040/,8.0,2.0
318,"Salt Lake City, Ut",6-Jan-13,White,Christian,Straight,1948,Best Actress,http://www.nndb.com/people/089/000031993/,The Farmer's Daughter,Loretta Young,https://www.imdb.com/name/nm0949835/awards,https://www.imdb.com/title/tt0039370/,7.0,1.5
319,"St. Joseph, Mo",5-Jan-17,White,Christian,Straight,1949,Best Actress,http://www.nndb.com/people/656/000022590/,Johnny Belinda,Jane Wyman,https://www.imdb.com/name/nm0943837/awards,https://www.imdb.com/title/tt0040495/,8.0,1.5
320,"Tokyo, Japan",1-Jul-16,White,Unknown,Straight,1950,Best Actress,http://www.nndb.com/people/741/000022675/,The Heiress,Olivia de Havilland,https://www.imdb.com/name/nm0000014/awards,https://www.imdb.com/title/tt0041452/,8.0,2.0
321,New York City,21-Jun-21,White,Unknown,Straight,1951,Best Actress,http://www.nndb.com/people/808/000063619/,Born Yesterday,Judy Holliday,https://www.imdb.com/name/nm0391062/awards,https://www.imdb.com/title/tt0042276/,8.0,1.5
322,New York City,30-Aug-1898,White,Unknown,Straight,1953,Best Actress,http://www.nndb.com/people/807/000063618/,"Come Back, Little Sheba",Shirley Booth,https://www.imdb.com/name/nm0095804/,https://www.imdb.com/title/tt0044509/,8.0,1.5
323,"Brussels, Belgium",4-May-29,White,Christian,Straight,1954,Best Actress,http://www.nndb.com/people/933/000026855/,Roman Holiday,Audrey Hepburn,https://www.imdb.com/name/nm0000030/awards,https://www.imdb.com/title/tt0046250/,8.0,2.0
324,"Philadelphia, Pa",12-Nov-29,White,Christian,Straight,1955,Best Actress,http://www.nndb.com/people/770/000025695/,The Country Girl,Grace Kelly,https://www.imdb.com/name/nm0000038/awards,https://www.imdb.com/title/tt0046874/,7.0,1.5
325,"Rome, Italy",7-Mar-08,White,Unknown,Straight,1956,Best Actress,http://www.nndb.com/people/806/000063617/,The Rose Tattoo,Anna Magnani,https://www.imdb.com/name/nm0536167/awards,https://www.imdb.com/title/tt0048563/,7.0,2.0
326,"Stockholm, Sweden",29-Aug-15,White,Unknown,Straight,1957,Best Actress,http://www.nndb.com/people/836/000024764/,Anastasia,Ingrid Bergman,https://www.imdb.com/name/nm0000006/awards,https://www.imdb.com/title/tt0048947/,7.0,2.0
327,"Thomasville, Ga",27-Feb-30,White,Unknown,Straight,1958,Best Actress,http://www.nndb.com/people/747/000043618/,The Three Faces of Eve,Joanne Woodward,https://www.imdb.com/name/nm0940946/awards,https://www.imdb.com/title/tt0051077/,7.0,1.5
328,"Thomasville, Ga",27-Feb-30,White,Unknown,Straight,1958,Best Actress,http://www.nndb.com/people/747/000043618/,The Three Faces of Eve,Joanne Woodward,https://www.imdb.com/name/nm0940946/awards,https://www.imdb.com/title/tt0051077/,7.0,1.5
329,"Brooklyn, Ny",30-Jun-18,White,Christian,Straight,1959,Best Actress,http://www.nndb.com/people/805/000063616/,I Want To Live!,Susan Hayward,https://www.imdb.com/name/nm0001333/awards,https://www.imdb.com/title/tt0051758/,7.0,2.0
330,"Wiesbaden, Germany",25-Mar-21,White,Unknown,Straight,1960,Best Actress,http://www.nndb.com/people/804/000063615/,Room at the Top,Simone Signoret,https://www.imdb.com/name/nm0797531/awards,https://www.imdb.com/title/tt0053226/,8.0,2.0
331,"London, England",27-Feb-32,White,Jewish,Straight,1961,Best Actress,http://www.nndb.com/people/624/000023555/,Butterfield 8,Elizabeth Taylor,https://www.imdb.com/name/nm0000072/awards,https://www.imdb.com/title/tt0053622/,6.0,2.0
332,"Pozzuoli, Italy",20-Sep-34,White,Christian,Straight,1962,Best Actress,http://www.nndb.com/people/811/000023742/,Two Women,Sophia Loren,https://www.imdb.com/name/nm0000047/awards,https://www.imdb.com/title/tt0054749/,8.0,1.5
