Person;Date of birth;Birthplace;Country of birth;Award;Edition;Movie;Year of award;Bio NNDB;Bio IMDb;Bio Wikipedia
Sidney Poitier;1927-02-20;Miami;United States of America;Best Actor;36th Academy Awards;Lilies of the Field;1963;https://www.nndb.com/people/200/000023131;https://www.imdb.com/name/nm0001627;https://en.wikipedia.org/wiki/Sidney_Poitier
Helen Mirren;1945-07-26;Chiswick;United Kingdom;Best Actress;79th Academy Awards;The Queen;2007;https://www.nndb.com/people/907/000044775;https://www.imdb.com/name/nm0000545;https://en.wikipedia.org/wiki/Helen_Mirren
Van Heflin;1908-12-13;Cotton County;United States of America;Best Supporting Actor;15th Academy Awards;Johnny Eager;1942;https://www.nndb.com/people/680/000042554;https://www.imdb.com/name/nm0001336;https://en.wikipedia.org/wiki/Van_Heflin
Yul Brynner;1920-07-11;Vladivostok;Russia;Best Actor;29th Academy Awards;The King and I;1956;https://www.nndb.com/people/459/000026381;https://www.imdb.com/name/nm0000989;https://en.wikipedia.org/wiki/Yul_Brynner
Haing S. Ngor;1940-03-22;French Indochina;French Protectorate of Laos;Best Supporting Actor;57th Academy Awards;The Killing Fields;1984;https://www.nndb.com/people/093/000063901;https://www.imdb.com/name/nm0628955;https://en.wikipedia.org/wiki/Haing_S._Ngor
Wallace Beery;1885-04-01;Clay County;United States of America;Best Actor;5th Academy Awards;The Champ;1932;https://www.nndb.com/people/976/000043847;https://www.imdb.com/name/nm0000891;https://en.wikipedia.org/wiki/Wallace_Beery
Julian Fellowes;1949-08-17;Cairo;Egypt;Best Writing, Original Screenplay;74th Academy Awards;Gosford Park;2002;https://www.nndb.com/people/170/000348123;https://www.imdb.com/name/nm0271501;https://en.wikipedia.org/wiki/Julian_Fellowes
Edmund H. Hansen;1894-11-13;Springfield;United States of America;Best Sound Mixing;17th Academy Awards;Wilson;1944;;https://www.imdb.com/name/nm0360770;https://en.wikipedia.org/wiki/Edmund_H._Hansen
A. R. Rahman;1966-01-06;Chennai;India;Best Original Score;81st Academy Awards;Slumdog Millionaire;2008;;https://www.imdb.com/name/nm0006246;https://en.wikipedia.org/wiki/A._R._Rahman
Alicia Vikander;1988-10-03;Gothenburg;Sweden;Best Supporting Actress;88th Academy Awards;The Danish Girl;2016;;https://www.imdb.com/name/nm2539953;https://en.wikipedia.org/wiki/Alicia_Vikander
Ralph Dawson;1897-04-18;Westborough;United States of America;Best Film Editing;11th Academy Awards;The Adventures of Robin Hood;1938;;https://www.imdb.com/name/nm0206238;https://en.wikipedia.org/wiki/Ralph_Dawson
Ralph Dawson;1897-04-18;Westborough;United States of America;Best Film Editing;8th Academy Awards;A Midsummer Night's Dream;1935;;https://www.imdb.com/name/nm0206238;https://en.wikipedia.org/wiki/Ralph_Dawson
Arthur Cohn;1927-02-04;Basel;Switzerland;Best Documentary Feature;34th Academy Awards;Sky Above and Mud Beneath;1962;;https://www.imdb.com/name/nm0004453;https://en.wikipedia.org/wiki/Arthur_Cohn
Anne V. Coates;1925-12-12;Reigate;United Kingdom;Best Film Editing;35th Academy Awards;Lawrence of Arabia;1962;;https://www.imdb.com/name/nm0167613;https://en.wikipedia.org/wiki/Anne_V._Coates
Lizzy Gardiner;1966-10-24;Dubbo;Australia;Best Costume Design;67th Academy Awards;The Adventures of Priscilla, Queen of the Desert;1995;;https://www.imdb.com/name/nm0306773;https://en.wikipedia.org/wiki/Lizzy_Gardiner
John Meehan;1902-06-13;Tehachapi;United States of America;Best Art Direction, Color;27th Academy Awards;20,000 Leagues Under the Sea;1955;;https://www.imdb.com/name/nm0576048;https://en.wikipedia.org/wiki/John_Meehan_(art_director)
Dustin Lance Black;1974-06-10;Sacramento;United States of America;Best Writing, Original Screenplay;81st Academy Awards;Milk;2008;;https://www.imdb.com/name/nm0085257;https://en.wikipedia.org/wiki/Dustin_Lance_Black
Sidney Sheldon;1917-02-11;Chicago;United States of America;Best Writing, Original Screenplay;20th Academy Awards;The Bachelor and the Bobby-Soxer;1947;https://www.nndb.com/people/413/000032317;https://www.imdb.com/name/nm0791084;https://en.wikipedia.org/wiki/Sidney_Sheldon
Donald Crisp;1882-07-27;London;United Kingdom;Best Supporting Actor;14th Academy Awards;How Green Was My Valley;1941;https://www.nndb.com/people/689/000031596;https://www.imdb.com/name/nm0187981;https://en.wikipedia.org/wiki/Donald_Crisp
Jared Leto;1971-12-26;Bossier City;United States of America;Best Supporting Actor;86th Academy Awards;Dallas Buyers Club;2013;https://www.nndb.com/people/438/000026360;https://www.imdb.com/name/nm0001467;https://en.wikipedia.org/wiki/Jared_Leto
Kim Basinger;1953-12-08;Athens;United States of America;Best Supporting Actress;70th Academy Awards;L.A. Confidential;1998;https://www.nndb.com/people/310/000025235;https://www.imdb.com/name/nm0000107;https://en.wikipedia.org/wiki/Kim_Basinger
Miloš Forman;1932-02-18;Čáslav;Czech Republic;Best Director;48th Academy Awards;One Flew Over the Cuckoo's Nest;1975;https://www.nndb.com/people/622/000023553;https://www.imdb.com/name/nm0001232;https://en.wikipedia.org/wiki/Milo%C5%A1_Forman
Bernardo Bertolucci;1941-03-16;Parma;Italy;Best Director;60th Academy Awards;The Last Emperor;1987;https://www.nndb.com/people/268/000024196;https://www.imdb.com/name/nm0000934;https://en.wikipedia.org/wiki/Bernardo_Bertolucci
David Lean;1908-03-25;Croydon;United Kingdom;Best Director;35th Academy Awards;Lawrence of Arabia;1962;https://www.nndb.com/people/462/000032366;https://www.imdb.com/name/nm0000180;https://en.wikipedia.org/wiki/David_Lean
Cathy Schulman;1965-01-01;;;Best Picture;78th Academy Awards;Crash;2005;;https://www.imdb.com/name/nm0776072;https://en.wikipedia.org/wiki/Cathy_Schulman
David Niven;1910-03-01;London;United Kingdom;Best Actor;31st Academy Awards;Separate Tables;1958;https://www.nndb.com/people/690/000031597;https://www.imdb.com/name/nm0000057;https://en.wikipedia.org/wiki/David_Niven
Glenda Jackson;1936-05-09;Birkenhead;United Kingdom;Best Actress;46th Academy Awards;A Touch of Class;1973;https://www.nndb.com/people/799/000063610;https://www.imdb.com/name/nm0413559;https://en.wikipedia.org/wiki/Glenda_Jackson
Leonardo DiCaprio;1974-11-11;Hollywood;United States of America;Best Actor;88th Academy Awards;The Revenant;2016;https://www.nndb.com/people/581/000023512;https://www.imdb.com/name/nm0000138;https://en.wikipedia.org/wiki/Leonardo_DiCaprio
Penélope Cruz;1974-04-28;Alcobendas;Spain;Best Supporting Actress;81st Academy Awards;Vicky Cristina Barcelona;2008;https://www.nndb.com/people/748/000025673;https://www.imdb.com/name/nm0004851;https://en.wikipedia.org/wiki/Pen%C3%A9lope_Cruz
Dustin Hoffman;1937-08-08;Los Angeles;United States of America;Best Actor;61st Academy Awards;Rain Man;1989;https://www.nndb.com/people/882/000022816;https://www.imdb.com/name/nm0000163;https://en.wikipedia.org/wiki/Dustin_Hoffman
Dustin Hoffman;1937-08-08;Los Angeles;United States of America;Best Actor;52nd Academy Awards;Kramer vs. Kramer;1979;https://www.nndb.com/people/882/000022816;https://www.imdb.com/name/nm0000163;https://en.wikipedia.org/wiki/Dustin_Hoffman
Ingrid Bergman;1915-08-29;Hedvig Eleonora församling;Sweden;Best Actress;17th Academy Awards;Gaslight;1944;https://www.nndb.com/people/836/000024764;https://www.imdb.com/name/nm0000006;https://en.wikipedia.org/wiki/Ingrid_Bergman
Jack Palance;1919-02-18;Hazleton;United States of America;Best Supporting Actor;64th Academy Awards;City Slickers;1991;https://www.nndb.com/people/579/000022513;https://www.imdb.com/name/nm0001588;https://en.wikipedia.org/wiki/Jack_Palance
Walter Brennan;1894-07-25;Lynn;United States of America;Best Supporting Actor;9th Academy Awards;Come and Get It;1936;https://www.nndb.com/people/347/000032251;https://www.imdb.com/name/nm0000974;https://en.wikipedia.org/wiki/Walter_Brennan
Bette Davis;1908-04-05;Lowell;United States of America;Best Actress;11th Academy Awards;Jezebel;1938;https://www.nndb.com/people/457/000026379;https://www.imdb.com/name/nm0000012;https://en.wikipedia.org/wiki/Bette_Davis
Allison Janney;1959-11-19;Boston;United States of America;Best Supporting Actress;90th Academy Awards;I, Tonya;2018;https://www.nndb.com/people/258/000082012;https://www.imdb.com/name/nm0005049;https://en.wikipedia.org/wiki/Allison_Janney
Dorothy Malone;1924-01-29;Chicago;United States of America;Best Supporting Actress;29th Academy Awards;Written on the Wind;1957;https://www.nndb.com/people/090/000063898;https://www.imdb.com/name/nm0540416;https://en.wikipedia.org/wiki/Dorothy_Malone
Hilary Swank;1974-07-30;Lincoln;United States of America;Best Actress;77th Academy Awards;Million Dollar Baby;2004;https://www.nndb.com/people/333/000026255;https://www.imdb.com/name/nm0005476;https://en.wikipedia.org/wiki/Hilary_Swank
Gary Cooper;1901-05-07;Helena;United States of America;Best Actor;25th Academy Awards;High Noon;1952;https://www.nndb.com/people/740/000031647;https://www.imdb.com/name/nm0000011;https://en.wikipedia.org/wiki/Gary_Cooper
Sam Rockwell;1968-11-05;Daly City;United States of America;Best Supporting Actor;90th Academy Awards;Three Billboards Outside Ebbing, Missouri;2018;https://www.nndb.com/people/926/000108602;https://www.imdb.com/name/nm0005377;https://en.wikipedia.org/wiki/Sam_Rockwell
Ken Ralston;1954-01-01;;;Best Visual Effects;61st Academy Awards;Who Framed Roger Rabbit;1989;;https://www.imdb.com/name/nm0707822;https://en.wikipedia.org/wiki/Ken_Ralston
A. R. Rahman;1967-01-06;Chennai;India;Best Original Score;81st Academy Awards;Slumdog Millionaire;2008;;https://www.imdb.com/name/nm0006246;https://en.wikipedia.org/wiki/A._R._Rahman
Yvonne Blake;1940-04-17;Manchester;United Kingdom;Best Costume Design;44th Academy Awards;Nicholas and Alexandra;1971;;https://www.imdb.com/name/nm0086762;https://en.wikipedia.org/wiki/Yvonne_Blake
Johnny Mandel;1925-11-23;New York City;United States of America;Best Original Song;38th Academy Awards;The Shadow of Your Smile;1966;;https://www.imdb.com/name/nm0006184;https://en.wikipedia.org/wiki/Johnny_Mandel
Antonio Cánovas del Castillo de Rey;1908-12-13;Madrid;Spain;Best Costume Design;44th Academy Awards;Nicholas and Alexandra;1971;;https://www.imdb.com/name/nm0145016;https://en.wikipedia.org/wiki/Antonio_Castillo_(costume_designer)
Prince;1958-06-07;Minneapolis;United States of America;Best Original Song Score;57th Academy Awards;Purple Rain;1985;https://www.nndb.com/people/836/000023767;https://www.imdb.com/name/nm0002239;https://en.wikipedia.org/wiki/Prince_(musician)
Steven Spielberg;1946-12-18;Cincinnati;United States of America;Best Director;71st Academy Awards;Saving Private Ryan;1998;https://www.nndb.com/people/734/000022668;https://www.imdb.com/name/nm0000229;https://en.wikipedia.org/wiki/Steven_Spielberg
Georges Delerue;1925-03-12;Roubaix;France;Best Original Score;52nd Academy Awards;A Little Romance;1979;https://www.nndb.com/people/022/000174497;https://www.imdb.com/name/nm0000016;https://en.wikipedia.org/wiki/Georges_Delerue
Harold Russell;1914-01-14;Sydney;Canada;Best Supporting Actor;19th Academy Awards;The Best Years of Our Lives;1946;https://www.nndb.com/people/124/000063932;https://www.imdb.com/name/nm0751174;https://en.wikipedia.org/wiki/Harold_Russell
Ben Affleck;1972-08-15;Berkeley;United States of America;Best Writing, Original Screenplay;70th Academy Awards;mente indomable;1998;https://www.nndb.com/people/715/000022649;https://www.imdb.com/name/nm0000255;https://en.wikipedia.org/wiki/Ben_Affleck
Daniel Day-Lewis;1957-04-29;London;United Kingdom;Best Actor;80th Academy Awards;There Will Be Blood;2007;https://www.nndb.com/people/788/000022722;https://www.imdb.com/name/nm0000358;https://en.wikipedia.org/wiki/Daniel_Day-Lewis
Anne Hathaway;1982-11-12;New York City;United States of America;Best Supporting Actress;85th Academy Awards;Les Misérables;2012;https://www.nndb.com/people/220/000032124;https://www.imdb.com/name/nm0004266;https://en.wikipedia.org/wiki/Anne_Hathaway
Emma Stone;1988-11-06;Scottsdale;United States of America;Best Actress;89th Academy Awards;La La Land;2017;https://www.nndb.com/people/665/000268858;https://www.imdb.com/name/nm1297015;https://en.wikipedia.org/wiki/Emma_Stone
Fred Zinnemann;1907-04-29;Rzeszów;Poland;Best Director;26th Academy Awards;From Here to Eternity;1953;https://www.nndb.com/people/538/000032442;https://www.imdb.com/name/nm0003593;https://en.wikipedia.org/wiki/Fred_Zinnemann
Cecil Arthur Lewis;1898-03-29;Birkenhead;United Kingdom;Best Writing, Adapted Screenplay;11th Academy Awards;Pygmalion;1938;;https://www.imdb.com/name/nm0507021;https://en.wikipedia.org/wiki/Cecil_Arthur_Lewis
Charles Guggenheim;1924-03-31;Cincinnati;United States of America;Best Live Action Short Film;41st Academy Awards;Robert Kennedy Remembered;1968;;https://www.imdb.com/name/nm0346549;https://en.wikipedia.org/wiki/Charles_Guggenheim
Chris Menges;1940-09-15;Kington;United Kingdom;Best Cinematography;59th Academy Awards;The Mission;1986;;https://www.imdb.com/name/nm0579580;https://en.wikipedia.org/wiki/Chris_Menges
Walter Murch;1943-07-12;New York City;United States of America;Best Sound Mixing;52nd Academy Awards;Apocalypse Now;1979;;https://www.imdb.com/name/nm0004555;https://en.wikipedia.org/wiki/Walter_Murch
Oliver Stone;1946-09-15;New York City;United States of America;Best Director;62nd Academy Awards;Born on the Fourth of July;1989;https://www.nndb.com/people/545/000022479;https://www.imdb.com/name/nm0000231;https://en.wikipedia.org/wiki/Oliver_Stone
Paul Lukas;1891-05-26;Budapest;Hungary;Best Actor;16th Academy Awards;Watch on the Rhine;1944;https://www.nndb.com/people/713/000042587;https://www.imdb.com/name/nm0510134;https://en.wikipedia.org/wiki/Paul_Lukas
Christopher Walken;1943-03-31;Astoria;United States of America;Best Supporting Actor;51st Academy Awards;The Deer Hunter;1978;https://www.nndb.com/people/618/000022552;https://www.imdb.com/name/nm0000686;https://en.wikipedia.org/wiki/Christopher_Walken
Paul Newman;1925-01-26;Shaker Heights;United States of America;Best Actor;59th Academy Awards;The Color of Money;1986;https://www.nndb.com/people/804/000022738;https://www.imdb.com/name/nm0000056;https://en.wikipedia.org/wiki/Paul_Newman
Christopher Plummer;1929-12-13;Toronto;Canada;Best Supporting Actor;84th Academy Awards;Beginners;2011;https://www.nndb.com/people/316/000023247;https://www.imdb.com/name/nm0001626;https://en.wikipedia.org/wiki/Christopher_Plummer
Mel Gibson;1956-01-03;Peekskill;United States of America;Best Picture;68th Academy Awards;Braveheart;1995;https://www.nndb.com/people/583/000022517;https://www.imdb.com/name/nm0000154;https://en.wikipedia.org/wiki/Mel_Gibson
Ingrid Bergman;1915-08-29;Hedvig Eleonora församling;Sweden;Best Actress;29th Academy Awards;Anastasia;1956;https://www.nndb.com/people/836/000024764;https://www.imdb.com/name/nm0000006;https://en.wikipedia.org/wiki/Ingrid_Bergman
Sean Penn;1960-08-17;Santa Monica;United States of America;Best Actor;81st Academy Awards;Milk;2008;https://www.nndb.com/people/331/000025256;https://www.imdb.com/name/nm0000576;https://en.wikipedia.org/wiki/Sean_Penn
Walter Matthau;1920-10-01;New York City;United States of America;Best Supporting Actor;39th Academy Awards;The Fortune Cookie;1966;https://www.nndb.com/people/768/000023699;https://www.imdb.com/name/nm0000527;https://en.wikipedia.org/wiki/Walter_Matthau
Frances McDormand;1957-06-23;Gibson City;United States of America;Best Actress;69th Academy Awards;Fargo;1996;https://www.nndb.com/people/517/000025442;https://www.imdb.com/name/nm0000531;https://en.wikipedia.org/wiki/Frances_McDormand
Heath Ledger;1979-04-04;Perth;Australia;Best Supporting Actor;81st Academy Awards;The Dark Knight;2008;https://www.nndb.com/people/204/000029117;https://www.imdb.com/name/nm0005132;https://en.wikipedia.org/wiki/Heath_Ledger
Sandra Bullock;1964-07-26;Arlington County;United States of America;Best Actress;82nd Academy Awards;The Blind Side;2010;https://www.nndb.com/people/601/000023532;https://www.imdb.com/name/nm0000113;https://en.wikipedia.org/wiki/Sandra_Bullock
Francis Ford Coppola;1939-04-07;Detroit;United States of America;Best Writing, Adapted Screenplay;47th Academy Awards;The Godfather Part II;1974;https://www.nndb.com/people/866/000022800;https://www.imdb.com/name/nm0000338;https://en.wikipedia.org/wiki/Francis_Ford_Coppola
